mall_name,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
100 AM,100 AM,100,TRAS STREET,100 AM,100 TRAS STREET 100 AM SINGAPORE 079027,079027,29131.8164707171,28573.4721462838,1.27468281482263,103.843488359469,103.843488359469
313 Somerset,313 @ SOMERSET,313,ORCHARD ROAD,313 @ SOMERSET,313 ORCHARD ROAD 313 @ SOMERSET SINGAPORE 238895,238895,28561.1386390822,31485.0772309396,1.30101436404056,103.838360664485,103.838360664485
Aperia,APERIA,8,KALLANG AVENUE,APERIA,8 KALLANG AVENUE APERIA SINGAPORE 339509,339509,31406.7146015475,32574.5211833753,1.31086672816827,103.863929573292,103.863929573292
Balestier Hill Shopping Centre,BALESTIER HILL SHOPPING CENTRE,2A,BALESTIER ROAD,BALESTIER HILL SHOPPING CENTRE,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002,321002,29159.9587036697,34265.8946909029,1.32616307866261,103.843741438467,103.843741438467
Bugis Cube,BUGIS CUBE,470,NORTH BRIDGE ROAD,BUGIS CUBE,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,188735,30483.6570850834,31167.3475166354,1.2981408343975,103.855635339249,103.855635339249
Bugis Junction,BUGIS JUNCTION,200,VICTORIA STREET,BUGIS JUNCTION,200 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188021,188021,30458.7085178969,31274.8305191435,1.29911287475873,103.855411173758,103.855411173758
Bugis+,BUGIS BACKPACKERS HOSTEL,162B,ROCHOR ROAD,BUGIS BACKPACKERS HOSTEL,162B ROCHOR ROAD BUGIS BACKPACKERS HOSTEL SINGAPORE 188437,188437,30432.1584716914,31478.1598162092,1.30095171530648,103.855172625542,103.855172625542
Capitol Piazza,CAPITOL PIAZZA,13,STAMFORD ROAD,CAPITOL PIAZZA,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,178905,29996.9452433269,30607.61522354,1.29307884763132,103.851261982149,103.851261982149
Cathay Cineleisure Orchard,CATHAY CINELEISURE ORCHARD,8,GRANGE ROAD,CATHAY CINELEISURE ORCHARD,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,239695,28346.2346228976,31541.100151198,1.30152101873533,103.836429655016,103.836429655016
Central Mall,CENTRAL MALL,3,MAGAZINE ROAD,CENTRAL MALL,3 MAGAZINE ROAD CENTRAL MALL SINGAPORE 059570,059570,29020.0801506015,30129.3543239105,1.2887536712464,103.842484418198,103.842484418198
Centrepoint,THE CENTREPOINT,176,ORCHARD ROAD,THE CENTREPOINT,176 ORCHARD ROAD THE CENTREPOINT SINGAPORE 238843,238843,28716.7630815674,31591.6722616088,1.30197836876806,103.839759023144,103.839759023144
City Square Mall,CITY SQUARE MALL,180,KITCHENER ROAD,CITY SQUARE MALL,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,208539,30593.6748798871,32635.8044067919,1.31142103107683,103.856624019991,103.856624019991
City Gate,CITY GATE,371,BEACH ROAD,CITY GATE,371 BEACH ROAD CITY GATE SINGAPORE 199597,199597,31228.8929515947,31629.0129348133,1.30231590504573,103.862331661034,103.862331661034
CityLink Mall,CITYLINK MALL,1,RAFFLES LINK,CITYLINK MALL,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393,039393,30320.972393252,30574.3218035102,1.2927777312893,103.854173501417,103.854173501417
Duo,DUO GALLERIA,7,FRASER STREET,DUO GALLERIA,7 FRASER STREET DUO GALLERIA SINGAPORE 189356,189356,30791.5255810972,31321.438068511,1.29953434891664,103.85840168774,103.85840168774
Far East Plaza,FAR EAST PLAZA,14,SCOTTS ROAD,FAR EAST PLAZA,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,228213,28052.7910912242,32166.5070981272,1.30717698071189,103.833792932243,103.833792932243
Funan,FUNAN,107,NORTH BRIDGE ROAD,FUNAN,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105,179105,29855.3625422399,30416.1814862192,1.29134759697794,103.849989790085,103.849989790085
Great World City,GREAT WORLD CITY,1,KIM SENG PROMENADE,GREAT WORLD CITY,1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994,237994,27855.7183074635,30645.6325677894,1.29342272650003,103.832022146655,103.832022146655
HDB Hub,HDB HUB,460,LORONG 6 TOA PAYOH,HDB HUB,460 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310460,310460,29839.7194126267,34912.8489311524,1.33201387005935,103.84984949662,103.84984949662
Holland Road Shopping Centre,HOLLAND ROAD SHOPPING CENTRE,211,HOLLAND AVENUE,HOLLAND ROAD SHOPPING CENTRE,211 HOLLAND AVENUE HOLLAND ROAD SHOPPING CENTRE SINGAPORE 278967,278967,23776.8098159395,32509.3758863099,1.31027747574118,103.795371163103,103.795371163103
ION Orchard,ION ORCHARD,2,ORCHARD TURN,ION ORCHARD,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801,238801,27856.8520553298,31812.9728713278,1.30397974144505,103.832032328465,103.832032328465
Junction 8,JUNCTION 8 SHOPPING CENTRE,9,BISHAN PLACE,JUNCTION 8 SHOPPING CENTRE,9 BISHAN PLACE JUNCTION 8 SHOPPING CENTRE SINGAPORE 579837,579837,29718.5095465565,36954.8769997768,1.3504812534505,103.848760473211,103.848760473211
Knightsbridge,KNIGHTSBRIDGE,270,ORCHARD ROAD,KNIGHTSBRIDGE,270 ORCHARD ROAD KNIGHTSBRIDGE SINGAPORE 238857,238857,28330.0158265028,31702.7720460277,1.3029831225958,103.836283923443,103.836283923443
Liat Towers,LIAT TOWERS,541,ORCHARD ROAD,LIAT TOWERS,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881,238881,27711.0892851558,31935.4330472704,1.30508722710852,103.830722581168,103.830722581168
Lucky Plaza,LUCKY PLAZA,304,ORCHARD ROAD,LUCKY PLAZA,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,238863,28071.6446550656,31871.1689420138,1.30450604646634,103.833962339817,103.833962339817
Marina Bay Sands,MARINA BAY SANDS,1,BAYFRONT AVENUE,MARINA BAY SANDS,1 BAYFRONT AVENUE MARINA BAY SANDS SINGAPORE 018971,018971,31059.4625855722,29543.3804153632,1.28345419690844,103.860809048956,103.860809048956
Shoppes at Marina Bay Sands,THE SHOPPES AT MARINA BAY SANDS,2,BAYFRONT AVENUE,THE SHOPPES AT MARINA BAY SANDS,2 BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018972,018972,30856.1576845003,29629.71109147,1.28423496027027,103.858982282698,103.858982282698
Marina Bay Financial Centre Tower 3,MARINA BAY FINANCIAL CENTRE (TOWER 3),12,MARINA BOULEVARD,MARINA BAY FINANCIAL CENTRE (TOWER 3),12 MARINA BOULEVARD MARINA BAY FINANCIAL CENTRE (TOWER 3) SINGAPORE 018982,018982,30352.6026481129,29064.6662526764,1.27912493489912,103.854457600432,103.854457600432
Marina Bay Link Mall,MARINA BAY LINK MALL,8A,MARINA BOULEVARD,MARINA BAY LINK MALL,8A MARINA BOULEVARD MARINA BAY LINK MALL SINGAPORE 018984,018984,30231.5229646396,29187.7704102397,1.28023825446086,103.853369662547,103.853369662547
Marina One,MARINA ONE EAST TOWER,7,STRAITS VIEW,MARINA ONE EAST TOWER,7 STRAITS VIEW MARINA ONE EAST TOWER SINGAPORE 018936,018936,30173.876530271,28929.9200599995,1.27790635042143,103.852851669795,103.852851669795
Marina Square,MARINA SQUARE,6,RAFFLES BOULEVARD,MARINA SQUARE,6 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039594,039594,30811.1659309082,30472.3321676366,1.29185533273026,103.85857808906,103.85857808906
Millenia Walk,MILLENIA WALK,9,RAFFLES BOULEVARD,MILLENIA WALK,9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596,039596,30938.8002067907,30555.2769762799,1.29260544462492,103.859724944443,103.859724944443
Mustafa Centre,MUSTAFA CENTRE,145,SYED ALWI ROAD,MUSTAFA CENTRE,145 SYED ALWI ROAD MUSTAFA CENTRE SINGAPORE 207704,207704,30445.309607937,32491.0717166401,1.31011213190394,103.855290873926,103.855290873926
Ngee Ann City,NGEE ANN CITY,391,ORCHARD ROAD,NGEE ANN CITY,391 ORCHARD ROAD NGEE ANN CITY SINGAPORE 238872,238872,28207.3720752392,31620.7876102384,1.30224168528687,103.835181912297,103.835181912297
Orchard Central,ORCHARD CENTRAL,181,ORCHARD ROAD,ORCHARD CENTRAL,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,238896,28680.6729301102,31465.6765127573,1.30083890839245,103.839434733899,103.839434733899
Orchard Gateway,ORCHARD GATEWAY,277,ORCHARD ROAD,ORCHARD GATEWAY,277 ORCHARD ROAD ORCHARD GATEWAY SINGAPORE 238858,238858,28681.5684992122,31421.9269572161,1.30044325279546,103.839442780042,103.839442780042
Orchard Plaza,ORCHARD PLAZA,150,ORCHARD ROAD,ORCHARD PLAZA,150 ORCHARD ROAD ORCHARD PLAZA SINGAPORE 238841,238841,28871.5825470258,31511.9399756845,1.30125729409965,103.841150144584,103.841150144584
Midpoint Orchard,MIDPOINT ORCHARD,220,ORCHARD ROAD,MIDPOINT ORCHARD,220 ORCHARD ROAD MIDPOINT ORCHARD SINGAPORE 238852,238852,28594.4257633714,31570.5982082132,1.30178778502846,103.838659766022,103.838659766022
Palais Renaissance,PALAIS RENAISSANCE,390,ORCHARD ROAD,PALAIS RENAISSANCE,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871,238871,27584.8261186667,32108.7723720502,1.30665484543191,103.829588045188,103.829588045188
People's Park Centre,PEOPLE'S PARK CENTRE,101,UPPER CROSS STREET,PEOPLE'S PARK CENTRE,101 UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058357,058357,29186.540773402,29799.4470430557,1.28577009981805,103.843980122838,103.843980122838
People's Park Complex,PEOPLE'S PARK COMPLEX,1,PARK ROAD,PEOPLE'S PARK COMPLEX,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,059108,29024.0389001919,29618.5318235587,1.28413397178419,103.842519972666,103.842519972666
Plaza Singapura,PLAZA SINGAPURA,68,ORCHARD ROAD,PLAZA SINGAPURA,68 ORCHARD ROAD PLAZA SINGAPURA SINGAPORE 238839,238839,29305.3314708741,31455.5944289882,1.30074770963916,103.845047573431,103.845047573431
GR.ID,GR.ID,1,SELEGIE ROAD,GR.ID,1 SELEGIE ROAD GR.ID SINGAPORE 188306,188306,29774.5964836003,31384.8907496594,1.30010826723486,103.849264127911,103.849264127911
Raffles City,RAFFLES CITY SHOPPING CENTRE,252,NORTH BRIDGE ROAD,RAFFLES CITY SHOPPING CENTRE,252 NORTH BRIDGE ROAD RAFFLES CITY SHOPPING CENTRE SINGAPORE 179103,179103,30203.7152231745,30697.7055161726,1.29389357863312,103.853119904656,103.853119904656
Scotts Square,SCOTTS SQUARE,6,SCOTTS ROAD,SCOTTS SQUARE,6 SCOTTS ROAD SCOTTS SQUARE SINGAPORE 228209,228209,27972.8591879476,32014.1846202537,1.30579942993543,103.833074706219,103.833074706219
Serangoon Plaza,SERANGOON PLAZA,320,SERANGOON ROAD,SERANGOON PLAZA,320 SERANGOON ROAD SERANGOON PLAZA SINGAPORE 218108,218108,30429.2770807138,32565.0041423272,1.31078075190145,103.855146819671,103.855146819671
Shaw House,SHAW HOUSE,350,ORCHARD ROAD,SHAW HOUSE,350 ORCHARD ROAD SHAW HOUSE SINGAPORE 238868,238868,27798.4286418194,32015.3331086282,1.30580981580562,103.831507365654,103.831507365654
Sim Lim Square,SIM LIM SQUARE,1,ROCHOR CANAL ROAD,SIM LIM SQUARE,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,188504,30194.5713863662,31707.3292541914,1.3030242605718,103.853037814067,103.853037814067
Singapore Shopping Centre,SINGAPORE SHOPPING CENTRE,190,CLEMENCEAU AVENUE,SINGAPORE SHOPPING CENTRE,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE SINGAPORE 239924,239924,29201.1359043466,31168.6460736729,1.29815265394505,103.844111318107,103.844111318107
South Beach,SOUTH BEACH,36,BEACH ROAD,SOUTH BEACH,36 BEACH ROAD SOUTH BEACH SINGAPORE 189766,189766,30543.97085525,30906.411133578,1.29578101285494,103.856177264026,103.856177264026
Square 2,SQUARE 2,10,SINARAN DRIVE,SQUARE 2,10 SINARAN DRIVE SQUARE 2 SINGAPORE 307506,307506,29206.6219763951,33662.3806673996,1.32070510956845,103.844160709661,103.844160709661
Sunshine Plaza,SUNSHINE PLAZA,10,PRINSEP LINK,SUNSHINE PLAZA,10 PRINSEP LINK SUNSHINE PLAZA SINGAPORE 187948,187948,29918.3768824488,31424.5976224914,1.30046735366415,103.850556061949,103.850556061949
Suntec City,SUNTEC CITY MALL,3,TEMASEK BOULEVARD,SUNTEC CITY MALL,3 TEMASEK BOULEVARD SUNTEC CITY MALL SINGAPORE 038983,038983,30859.7197721638,30923.0979032703,1.29593189477195,103.859014406736,103.859014406736
Tanglin Mall,TANGLIN MALL,163,TANGLIN ROAD,TANGLIN MALL,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,247933,26946.5451086154,31908.4783786591,1.30484344196915,103.823852794772,103.823852794772
Tangs,DBS TANGS ORCHARD,320,ORCHARD ROAD,DBS TANGS ORCHARD,320 ORCHARD ROAD DBS TANGS ORCHARD SINGAPORE 238865,238865,27961.3321106369,31920.2651855387,1.30495005564842,103.832971130126,103.832971130126
Tanjong Pagar Centre,TANJONG PAGAR CENTRE,5,WALLICH STREET,TANJONG PAGAR CENTRE,5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883,078883,29404.2523569511,28783.6531160194,1.27658360696843,103.845936303594,103.845936303594
Tekka Centre,ZHUJIAO CENTRE (TEKKA MARKET),665,BUFFALO ROAD,ZHUJIAO CENTRE (TEKKA MARKET),665 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210665,210665,29924.3737569908,32056.0217537805,1.30617773048079,103.850609985486,103.850609985486
Adelphi,ADELPHI PARK ESTATE,2,ORCHID DRIVE,ADELPHI PARK ESTATE,2 ORCHID DRIVE ADELPHI PARK ESTATE SINGAPORE 576158,576158,27585.8253556136,37426.8268734626,1.35474944653942,103.829596951438,103.829596951438
Paragon,PARAGON MEDICAL,290,ORCHARD ROAD,PARAGON MEDICAL,290 ORCHARD ROAD PARAGON MEDICAL SINGAPORE 238859,238859,28291.8472634079,31835.3515958935,1.30418212572574,103.835940962553,103.835940962553
Tiong Bahru Plaza,TIONG BAHRU PLAZA,302,TIONG BAHRU ROAD,TIONG BAHRU PLAZA,302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732,168732,27298.4929601206,29875.6088268161,1.28645889472825,103.827015256194,103.827015256194
Poiz,THE POIZ CENTRE,51,UPPER SERANGOON ROAD,THE POIZ CENTRE,51 UPPER SERANGOON ROAD THE POIZ CENTRE SINGAPORE 347697,347697,31883.5016925149,34855.7263145093,1.33149708073624,103.86821402533,103.86821402533
Thomson Plaza,THOMSON PLAZA,301,UPPER THOMSON ROAD,THOMSON PLAZA,301 UPPER THOMSON ROAD THOMSON PLAZA SINGAPORE 574408,574408,27733.0413219538,37417.9340793099,1.35466902496424,103.830919782333,103.830919782333
United Square,UNITED SQUARE,101,THOMSON ROAD,UNITED SQUARE,101 THOMSON ROAD UNITED SQUARE SINGAPORE 307591,307591,29145.4956319379,33274.1963187363,1.31719450988559,103.843611443038,103.843611443038
Velocity Novena Square,VELOCITY @ NOVENA SQUARE,238B,THOMSON ROAD,VELOCITY @ NOVENA SQUARE,238B THOMSON ROAD VELOCITY @ NOVENA SQUARE SINGAPORE 307685,307685,29210.0329662841,33506.505000649,1.31929542501907,103.844191353077,103.844191353077
Wheelock Place,WHEELOCK PLACE,501,ORCHARD ROAD,WHEELOCK PLACE,501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880,238880,27702.1243623979,31889.9934485909,1.30467628730252,103.830642027577,103.830642027577
Wisma Atria,WISMA ATRIA,435,ORCHARD ROAD,WISMA ATRIA,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,238877,27987.4434526861,31782.5683790036,1.30370477426147,103.833205752808,103.833205752808
Zhongshan Mall,ZHONGSHAN MALL,20,AH HOOD ROAD,ZHONGSHAN MALL,20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984,329984,29473.0098957308,34352.36196642,1.32694504456951,103.846554377679,103.846554377679
Century Square,CENTURY SQUARE,2,TAMPINES CENTRAL 5,CENTURY SQUARE,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,529509,40296.7094797157,37163.8108075112,1.35236829566862,103.943812302253,103.943812302253
Tampines 1,TAMPINES PLAZA 1,3,TAMPINES CENTRAL 1,TAMPINES PLAZA 1,3 TAMPINES CENTRAL 1 TAMPINES PLAZA 1 SINGAPORE 529540,529540,40195.5757618845,37200.6616842039,1.35270160272274,103.942903567808,103.942903567808
Tampines Mall,TAMPINES MALL,4,TAMPINES CENTRAL 5,TAMPINES MALL,4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510,529510,40395.3605872542,37181.4052837677,1.35252737278519,103.944698751072,103.944698751072
Our Tampines Hub,OUR TAMPINES HUB,1,TAMPINES WALK,OUR TAMPINES HUB,1 TAMPINES WALK OUR TAMPINES HUB SINGAPORE 528523,528523,39917.8597772308,37248.4172376581,1.35313359828812,103.940408135311,103.940408135311
Changi Airport,CHANGI AIRPORT BUS TERMINAL 1,80,AIRPORT BOULEVARD,CHANGI AIRPORT BUS TERMINAL 1,80 AIRPORT BOULEVARD CHANGI AIRPORT BUS TERMINAL 1 SINGAPORE 819642,819642,45504.218736439,38150.7544729207,1.36129123176598,103.99060554697,103.99060554697
Changi City Point,CHANGI CITY POINT,5,CHANGI BUSINESS PARK CENTRAL 1,CHANGI CITY POINT,5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038,486038,42423.0269516231,35136.8611284606,1.33403637902708,103.962917615531,103.962917615531
Downtown East,DOWNTOWN EAST,1,PASIR RIS CLOSE,DOWNTOWN EAST,1 PASIR RIS CLOSE DOWNTOWN EAST SINGAPORE 519599,519599,41545.7286940152,39878.0294110253,1.37691412455433,103.955036748549,103.955036748549
Djitsun Mall Bedok,DJITSUN MALL BEDOK,445,BEDOK NORTH STREET 1,DJITSUN MALL BEDOK,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,469661,38710.0881669372,34261.3041274194,1.32611970329469,103.929554495615,103.929554495615
Eastpoint Mall,EASTPOINT MALL,3,SIMEI STREET 6,EASTPOINT MALL,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,528833,41321.990633836,36095.4413322229,1.34270592355576,103.953024618234,103.953024618234
Bedok Mall,BEDOK MALL,311,NEW UPPER CHANGI ROAD,BEDOK MALL,311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,467360,38676.9034392368,34108.3360637221,1.32473632784728,103.929256259998,103.929256259998
Bedok Point,JEET'S LITTLE LEARNERS (BEDOK) PTE. LTD.,327,BEDOK ROAD,JEET'S LITTLE LEARNERS (BEDOK) PTE. LTD.,327 BEDOK ROAD JEET'S LITTLE LEARNERS (BEDOK) PTE. LTD. SINGAPORE 469498,469498,40738.2093682978,34751.1049379874,1.33054849915481,103.947778439395,103.947778439395
Paya Lebar Square,PAYA LEBAR SQUARE,60,PAYA LEBAR ROAD,PAYA LEBAR SQUARE,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,409051,34595.3032159209,33453.443530187,1.31881487007651,103.892580778514,103.892580778514
Singapore Post Centre,SINGAPORE POST CENTRE,10,EUNOS ROAD 8,SINGAPORE POST CENTRE,10 EUNOS ROAD 8 SINGAPORE POST CENTRE SINGAPORE 408600,408600,34852.8436825443,33473.5521862414,1.31899666903663,103.894894915962,103.894894915962
PLQ Mall,PLQ MALL,10,PAYA LEBAR ROAD,PLQ MALL,10 PAYA LEBAR ROAD PLQ MALL SINGAPORE 409057,409057,34623.78747709,33314.8152264543,1.31756115921,103.892836694432,103.892836694432
kinex,KINEX,11,TANJONG KATONG ROAD,KINEX,11 TANJONG KATONG ROAD KINEX SINGAPORE 437157,437157,34835.3929186761,32989.4359148927,1.31461849889242,103.894738004768,103.894738004768
